Common Name,Scientific Name
"Common Yellowthroat","Geothlypis trichas"
"Hooded Warbler","Setophaga citrina"
"American Redstart","Setophaga ruticilla"
"Kirtland's Warbler","Setophaga kirtlandii"
"Cape May Warbler","Setophaga tigrina"
"Cerulean Warbler","Setophaga cerulea"
"Northern Parula","Setophaga americana"
"Magnolia Warbler","Setophaga magnolia"
"Bay-breasted Warbler","Setophaga castanea"
"Blackburnian Warbler","Setophaga fusca"
"Northern Yellow Warbler","Setophaga aestiva"
"Chestnut-sided Warbler","Setophaga pensylvanica"
"Blackpoll Warbler","Setophaga striata"
"Black-throated Blue Warbler","Setophaga caerulescens"
"Palm Warbler","Setophaga palmarum"
"Pine Warbler","Setophaga pinus"
"Yellow-rumped Warbler","Setophaga coronata"
"Yellow-throated Warbler","Setophaga dominica"
"Prairie Warbler","Setophaga discolor"
"Grace's Warbler","Setophaga graciae"
"Black-throated Gray Warbler","Setophaga nigrescens"
"Townsend's Warbler","Setophaga townsendi"
"Hermit Warbler","Setophaga occidentalis"
"Black-throated Green Warbler","Setophaga virens"
"Canada Warbler","Cardellina canadensis"
"Wilson's Warbler","Cardellina pusilla"
"Painted Redstart","Myioborus pictus"
"Hepatic Tanager","Piranga flava"
"Summer Tanager","Piranga rubra"
"Scarlet Tanager","Piranga olivacea"
"Western Tanager","Piranga ludoviciana"
"Northern Cardinal","Cardinalis cardinalis"
"Pyrrhuloxia","Cardinalis sinuatus"
"Rose-breasted Grosbeak","Pheucticus ludovicianus"
"Black-headed Grosbeak","Pheucticus melanocephalus"
"Blue Grosbeak","Passerina caerulea"
"Lazuli Bunting","Passerina amoena"
"Indigo Bunting","Passerina cyanea"
"Painted Bunting","Passerina ciris"
"Dickcissel","Spiza americana"
"Saffron Finch","Sicalis flaveola"
"Lesson's Seedeater","Sporophila bouvronides"
